Nom de l'offre touristique;Type de l'offre;Type habitation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'acces/Nom/distance;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;Code Embed pour intégrer une video;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Confort immobillier;Confort mobillier;Labels;Classement dans un label;Catégorie de la fête ou manifestation;Nombre chambres;Nombre chambres pour accès à mobilité réduite;Nombre total d'hébergements / logements;Nombre personnes;Surface en M2;Services proposés sur place;Langues parlées à l'accueil;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Coordonnées centrale de réservation;Nom agence/nom contact/Téléphone/E-mail/URL resa/URL dispo/;Tarif(s);Modes de paiement acceptés;localisation;departement
GITE JARDIN CLERAY;Meublés;Maison;;;120 Le Cleray;;44330;VALLET;;44212;47.15443;-1.240261;Gare SNCF||||10;06 40 05 56 94;;;;http://www.jardincleray.fr;;;;;non;;;non;;;"Entrée indépendante;Jardin indépendant;Plain Pied;Sanitaires privés";;;;;6;;1;;;Location de draps,Location de linge,Option nettoyage;"Anglais;Espagnol";oui;||||Ouvert toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.15443,-1.240261;Loire-Atlantique
CHÂTEAU DU PÉ;Chambres d'hôtes;;;;Rue de l'Égalité;;44640;SAINT-JEAN-DE-BOISEAU;;44166;47.1964683;-1.7240729;Gare SNCF||||10,Aéroport/aérodrome||||15;;;;;;;;;;non;;;non;EV1-La Vélodyssée,EV6-La Loire à Vélo;WiFi;"Entrée indépendante;Jardin indépendant;Terrasse / Balcon";;Accueil Vélo;;3 étoiles;5;1;;14;0;Fourniture de draps (gratuit);Anglais;;;;oui;Gîtes de France||http://webitea-44-RESA-francais.gl.itea.fr/resa/etape1.php?NUM=44G293415&INSTANCE=gites44&OPE=FAIRESAV&ORI=FAIRESAV&&&&||http://webitea-44-RESA-francais.gl.itea.fr/cgi.php?&OPE=FAIRESAV&ORI=FAIRESAV&PLG=O&NUM=44G293415&ACC=H&INSTANCE=gites44||0251729565||info@gites-de-france-44.fr;;1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||60,00||115,00||;"Cartes bancaires;Chèques Vacances";47.1964683,-1.7240729;Loire-Atlantique
GÎTE LA COUR DE BREHAIN LES HORTENSIAS;Meublés;;;;La Cour de Bréhain;;44290;CONQUEREUIL;;44044;47.625462;-1.75296;Gare SNCF||||10,Aéroport/aérodrome||||60;;02 40 87 35 57;;;http://www.gites-de-loire-atlantique.com/brehain                http://www.gites-de-loire-atlantique.com/brehain2;;;;;non;;;non;;WiFi;"Jardin indépendant;Parking;Terrasse / Balcon";Cheminée;;;3 étoiles;3;;;6;107;;Français;oui;;;;;;;Chèques Vacances;47.625462,-1.75296;Loire-Atlantique
GITE CAMPAGNE;Meublés;Maison;;;La Marionnière;;44860;PONT-SAINT-MARTIN;;44130;47.13464;-1.5882;Gare SNCF||||12,Aéroport/aérodrome||||6;;06 74 24 46 96;;;https://www.marionniere.fr;;Facebook||https://fr-fr.facebook.com/gitesMarionniere/;;;oui;;;non;;Parc/jardin,Piscine,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon";Cheminée,Lave linge,Lave vaisselle,Micro ondes;;;3 étoiles;1;;;4;39;Fourniture de draps (gratuit);"Anglais;Français";oui;;Régis LE BON||06 74 24 46 96||regislebon44@gmail.com;non;;;;"Cartes bancaires;Chèques Vacances";47.13464,-1.5882;Loire-Atlantique
CHAMBRES D'HOTES LA PENISSIERE;Chambres d'hôtes;;;;La Pénissière;;44690;CHATEAU-THEBAUD;;44037;47.124585;-1.419149;Gare SNCF||||15,Aéroport/aérodrome||||15;06 83 01 04 47;02 40 06 51 22;02 28 21 31 40;;http://www.domaine-penissiere-millaud.fr/;;;;;non;;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Terrasse / Balcon";Cheminée;;;Non classé;3;;3;6;152;Fourniture de draps (gratuit);;oui;;BOUSSEAU||02 40 06 51 22||hotes-bousseau@wanadoo.fr;;;;;Chèques Vacances;47.124585,-1.419149;Loire-Atlantique
ECO-GÎTE DE MARONGLE;Chambres d'hôtes;;;;50 Marongle;;44460;FEGREAC;;44057;47.5518159;-1.9792482;Gare SNCF||||15,Aéroport/aérodrome||||60;;;;;;;;;;non;;;;;WiFi;"Entrée indépendante;Jardin indépendant";Cheminée;;;;2;;;5;100;Fourniture de draps (gratuit);"Anglais;Espagnol";oui;;;;;;;"Cartes bancaires;Chèques Vacances";47.5518159,-1.9792482;Loire-Atlantique
GITE CHOUIN ANDRE;Meublés;;;;La Petite Vennerie;;44650;TOUVOIS;;44206;46.90375;-1.6718;Gare SNCF||||18,Aéroport/aérodrome||||40;;0251729565;;;;;;;;non;;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Parking;Terrasse / Balcon";;;;3 étoiles;2;;;4;52;;;oui;;;oui;Gîtes de France||http://webitea-44-RESA-francais.gl.itea.fr/resa/etape1.php?NUM=44G206142&INSTANCE=gites44&OPE=FAIRESAV&ORI=FAIRESAV&&&&||http://webitea-44-RESA-francais.gl.itea.fr/cgi.php?&OPE=FAIRESAV&ORI=FAIRESAV&PLG=O&NUM=44G206142&ACC=G&INSTANCE=gites44||0251729565||info@gites-de-france-44.fr;;;"Cartes bancaires;Chèques Vacances";46.90375,-1.6718;Loire-Atlantique
GÎTE LA MARE AUX GRENOUILLES;Chambres d'hôtes;;;;La Bruère;Saint-Sulpice-des-Landes;44540;VALLONS-DE-L'ERDRE;;44180;47.547292;-1.25452;Gare SNCF||||23,Aéroport/aérodrome||||60;;02 51 72 95 65;;;;;;;;non;;;non;;Piscine;"Entrée indépendante;Jardin indépendant;Parking;Terrasse / Balcon";Lave linge,Lave vaisselle,Micro ondes;;;;2;;;5;75;Fourniture de draps (gratuit);"Anglais;Français";oui;;;oui;Gîtes de France||http://webitea-44-RESA-francais.gl.itea.fr/resa/etape1.php?NUM=44G712102&INSTANCE=gites44&OPE=FAIRESAV&ORI=FAIRESAV&&&&||http://webitea-44-RESA-francais.gl.itea.fr/cgi.php?&OPE=FAIRESAV&ORI=FAIRESAV&PLG=O&NUM=44G712102&ACC=G&INSTANCE=gites44||0251729565||info@gites-de-france-44.fr;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Virement";47.547292,-1.25452;Loire-Atlantique
CABANE DE LA FERME DE BEAU SOLEIL A MAISDON SUR SEVRE;Hébergement insolite;Cabane;;;Ferme de Beau Soleil;;44690;MAISDON-SUR-SEVRE;;44088;47.113739;-1.3966703;Itinéraire de randonnée||GR de pays Sèvre et Maine||;;02 51 71 65 74;;;https://www.randocabane.fr/;https://youtu.be/F79sSJIHdO4;Facebook||https://www.facebook.com/nantes.wine.tour,Instagram||https://www.instagram.com/randocabane/;;;;;;non;;Parc/jardin;"Entrée indépendante;Local vélo;Parking;Plain Pied;Toilettes séparées";;;;Non classé;;;1;4;11;Location de draps,Location de linge;"Anglais;Français";non;01/05/2021||01/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,30/04/2022||01/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Espèces;Virement";47.113739,-1.3966703;Loire-Atlantique
SUITE-HOME APPARTEMENT D'EXCEPTION 4*;Meublés;Appartement;3ème Etage;;23 Rue Henri GAUTIER;;44600;SAINT-NAZAIRE;;44184;47.2774709;-2.2053459;Transport en commun||Ligne U2 - Arrêt: Le Théâtre||0,8,Transport en commun||Ligne U4 et S/D - Arrêt: Square Delzieux||0,1,Transport en commun||Ligne Hélyce - Arrêt: Rue de la paix||0,55,Gare SNCF||ST NAZAIRE||1,5;06 11 22 81 90;;;;;;Facebook||https://www.facebook.com/appartements.mainhome.9,Tripadvisor||https://www.tripadvisor.fr/Profile/MAIN-HOME_ST_NAZAIRE;;;non;;;non;;WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;4 étoiles;3;0;1;11;100;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;"Anglais;Espagnol;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 12 29 89 29||;;;;Nuitée (meublé)||110,00||236,00||,Semaine (meublé)||560,00||1442,00||;"Cartes bancaires;Virement";47.2774709,-2.2053459;Loire-Atlantique
VILLA PLAISANCE;Meublés;Maison;;;59 route de l'océan;;44600;SAINT-NAZAIRE;;44184;47.2377852;-2.2896832;"Transport en commun||Ligne U3, arrêt ""Grand Traict""||0,07";06 50 89 54 06;;;;;;Facebook||https://www.facebook.com/villaplaisancesaintmarc/;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;2 étoiles;6;0;1;14;170;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Espagnol";non;02/05/2022||31/12/2022||Tous les week-ends sauf juillet aout location à la semaine||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||3000,00||3000,00||;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.2377852,-2.2896832;Loire-Atlantique
LES ABEILLES;Meublés;Appartement;;;3 rue de l'écluse;;44600;SAINT-NAZAIRE;;44184;47.2713654;-2.2012803;Transport en commun||Ligne U4 - Arrêt: Petit Maroc||0,3,Gare SNCF||||2,5,Bord de mer||Front de mer||0,2;06 42 01 22 73;;;;;;Facebook||https://www.facebook.com/lesabeilles44/;;;non;;;non;EV1-La Vélodyssée,EV6-La Loire à Vélo;WiFi;"Entrée indépendante;Local vélo;Sanitaires privés;Terrain clos;Toilettes séparées";Equipement bébé,Lave linge,Sèche linge,Micro ondes;Accueil Vélo,La Loire à vélo,La Vélodyssée;;Non classé;8;0;8;30;450;Location de draps,Location de linge,Location/prêt de vélo,Option nettoyage;Anglais;oui;01/07/2022||31/08/2022||Location : du 1er juillet au 31 août pour les 2 appartements meublés||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Laëtitia CORDIER||06 42 01 22 73||contact@lesabeilles44.com;;;;Nuitée (meublé)||30,00||90,00||,Semaine (meublé)||490,00||||;"Chèques bancaires et postaux;Virement";47.2713654,-2.2012803;Loire-Atlantique
APPARTEMENT 4 PERSONNES - MME DEBUREAUX;Meublés;Appartement;;;;;44490;LE CROISIC;;44049;47.29956;-2.51881;;06 63 81 48 46;;;;;;;;;non;;;;;;"Parking;Plain Pied";Lave linge,Lave vaisselle,Micro ondes;;;;1;;;4;;;;;;;;;;;;47.29956,-2.51881;Loire-Atlantique
GÎTE - GITES ET ECURIES DE LA JANAIS;Meublés;Maison;;;;La janais;44540;LE PIN;;44124;47.605904;-1.1708069;;06 74 87 04 84;02 40 72 37 34;;;http://www.a-gites.com/pays_de_la_loire/le-pin/2-gites-4-6-8-personnes-equitationpeche-an31495.html;;;;;oui;;;;;Piscine,WiFi;"Entrée indépendante;Jardin indépendant;Terrain clos";;;;;2;;;8;100;;Français;non;;;;;;;;47.605904,-1.1708069;Loire-Atlantique
MAISON 8 PERSONNES - MME DEFER;Meublés;Maison;;;"""Baraka""";32 avenue du Docteur Sourdille;44510;LE POULIGUEN;;44135;47.2623;-2.42259;;06 87 04 39 36;;;;;;;;;oui;;;;;;"Jardin indépendant;Parking;Plain Pied;Terrain clos;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Lave vaisselle;;;2 étoiles;3;;;6;120;;;;;;;;;;Chèques bancaires et postaux;47.2623,-2.42259;Loire-Atlantique
MANOIR DE BEL EBAT;Chambres d'hôtes;Appartement,Châteaux et demeures de prestige;;;1 rue de Bel Ebat;;44160;CROSSAC;;44050;47.40833;-2.17047;;;07 87 06 58 38;;;https://www.manoirbelebat.com/;;;;;non;;;non;;WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon";Equipement bébé;;;;;;;9;;Tables d'hôtes;"Allemand;Anglais;Espagnol";;01/01/2021||31/12/2021||check-in entre 16h et 19h et check-out avant 12h - Réservation de la table d'hôtes 24h à l'avance||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Taxe de séjour / nuit / pers||0,60||0,60||,Table d'hôtes||26,40||26,40||;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.40833,-2.17047;Loire-Atlantique
MAISON 2 PERSONNES - CAP 1;Meublés;Maison;;;1 rue des Capucins;;44490;LE CROISIC;;44049;47.29303;-2.51445;;06 75 01 51 45;;;;http://www.lecroisiclocations.com;;;;;;;;;;;"Plain Pied;Terrain clos;Terrasse / Balcon";Lave linge,Micro ondes;;;2 étoiles;1;;;2;30;Location de draps,Location de linge;Anglais;;;;;;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.29303,-2.51445;Loire-Atlantique
APPARTEMENT POUR 4 PERSONNES - LES MARSOUINS N°1;Meublés;Appartement;;;10 boulevard des Marsouins;;44510;LE POULIGUEN;;44135;47.26067;-2.43599;;06 36 13 28 45;;;;https://sites.google.com/view/gites-le-pouliguen-la-baule;;;;;non;;;;;;"Jardin indépendant;Parking;Plain Pied;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave vaisselle,Micro ondes;;3 épis (Gîtes de France);3 étoiles;1;;;4;40;Location de draps,Location de linge;"Anglais;Espagnol";;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||590,00||590,00||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.26067,-2.43599;Loire-Atlantique
L'ÉVASION LOFT;Chambres d'hôtes;Maison;;;10 Rue des Pierres Giraud;;44260;PRINQUIAU;;44137;47.3691244;-2.0234844;;06 33 13 49 83;;;;https://levasion-loft.fr/;;;;;;;;non;;Espace bien-être,WiFi;"Entrée indépendante;Parking;Sanitaires privés";;;;Non classé;3;;;8;;;Français;;;||06 33 13 49 83||contact@levasion-loft.fr;;;;Nuitée (meublé)||230,00||490,00||;;47.3691244,-2.0234844;Loire-Atlantique
ROULOTTE CAMPING LA PINDIERE;Locatif sur camping;Roulotte;;;102 La Denais;;44810;HERIC;;44073;47.4134095;-1.6705346;;;02 40 57 65 41;;;www.camping-la-pindiere.com;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1080861-d7305032-Reviews-Camping_la_Pindiere-Heric_Loire_Atlantique_Pays_de_la_Loire.html,Facebook||https://www.facebook.com/Pindiere/,Zoover||http://www.zoover.fr/france/pays-de-la-loire/heric-loire-atlantique/la-pindiere/camping,Instagram||https://www.instagram.com/campingpindiere/;;;oui;;;non;;Piscine couverte,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrasse / Balcon";Micro ondes;;;3 étoiles;2;0;4;4;20,4;Location de draps,Location de linge,Option nettoyage;"Allemand;Anglais;Espagnol;Français";oui;;Mme Rauturier Anne||02 40 57 65 41||contact@camping-la-pindiere.com;;;;;"Cartes bancaires;Chèques Vacances;Espèces";47.4134095,-1.6705346;Loire-Atlantique
CHEZ HUGUETTE;Chambres d'hôtes;Maison;;;11 rue de la Noé aux Gas;;44350;GUERANDE;;44069;47.33944;-2.42915;;06 75 51 32 98;09 63 67 76 12;;;;;;;;oui;;;;;WiFi;"Parking;Sanitaires privés;Terrasse / Balcon";;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||70,00||70,00||,Taxe de séjour / nuit / pers||0,80||0,80||;"Chèques bancaires et postaux;Espèces";47.33944,-2.42915;Loire-Atlantique
APPARTEMENT TOUR DE LA GAUDINAIS 5 PERSONNES - AUX PORTES DE GUÉRANDE;Meublés;Appartement;;;11 rue du Pavé de Beaulieu;;44350;GUERANDE;;44069;47.32847;-2.42624;;;06 33 01 05 29;;;;;;;;non;;;;;;Jardin indépendant;Equipement bébé,Micro ondes;;1 épi (Gîtes de France);;1;;;5;35;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;;;;;;;Cartes bancaires;47.32847,-2.42624;Loire-Atlantique
MAISON 4/8 PERSONNES - MME BOUCHER;Meublés;Maison;;;11 rue du Pré Nantais;;44490;LE CROISIC;;44049;47.28842;-2.51927;;;06 62 37 63 61;;;;;;;;non;;;;;;"Garage;Jardin indépendant;Parking";Lave linge,Lave vaisselle,Micro ondes;;;Non classé;4;;;4;;;;;;;;;;Semaine (meublé)||500,00||500,00||;;47.28842,-2.51927;Loire-Atlantique
APPARTEMENT 5 PERSONNES *** - DENIEUL ESTELLE;Meublés;Appartement;;;116 boulevard des Océanides;Résidence Askoy;44380;PORNICHET;;44132;47.26816;-2.34788;;07 60 50 71 40;;;;;;;;;non;;;;;;;Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;3 étoiles;2;;;5;65;;"Anglais;Espagnol";;01/01/2022||31/12/2022||Toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||750,00||1100,00||;"Espèces;Virement";47.26816,-2.34788;Loire-Atlantique
APPARTEMENT 6 PERSONNES - MME MAILLET;Meublés;Appartement;;;12 rue de Saillé;;44350;GUERANDE;;44069;47.32715;-2.42962;;06 25 80 08 87;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;47.32715,-2.42962;Loire-Atlantique
STUDIO REGINA;Meublés;Appartement;;;14 A avenue Josselin;;44500;LA BAULE-ESCOUBLAC;;44055;47.28659;-2.38787;;;06 85 95 58 07;;;;;;;;;;;;;;Terrasse / Balcon;Lave linge,Micro ondes;;;;;;;4;26;;;;;;;;;;;47.28659,-2.38787;Loire-Atlantique
LE GRAFFI'TY;Meublés;Maison;;;16 rue de la Graffinière;;44160;BESNE;;44013;47.36824;-2.04632;;;06 59 81 73 43;;;http://www.gitelegraffity.fr/;;;;;non;;;non;;;"Terrain clos;Terrasse / Balcon";Equipement bébé;;;Non classé;2;;;6;93;Fourniture de draps (gratuit);"Allemand;Anglais";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||500,00||650,00||;Chèques bancaires et postaux;47.36824,-2.04632;Loire-Atlantique
MAISON 16 PERSONNES - M. ET MME MATIVON;Meublés;Maison;;;17 Avenue Alphonse Daudet;;44420;PIRIAC-SUR-MER;;44125;47.37646;-2.54827;;06 09 62 14 95;;;;;;;;;non;;;;;;"Garage;Jardin indépendant;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;3 clés (Clévacances);3 étoiles;6;;;;300;;"Allemand;Anglais";;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||1600,00||1900,00||;Virement;47.37646,-2.54827;Loire-Atlantique
CHEZ MME THOBIE;Chambres d'hôtes;Maison;;;17 rue du Four;;44420;LA TURBALLE;;44211;47.34739;-2.50964;;;06 74 51 02 60;;;;;;;;non;;;;;WiFi;Sanitaires privés;Equipement bébé;;;;1;;;4;;;Anglais;;01/05/2021||15/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.34739,-2.50964;Loire-Atlantique
LE CLOS DE L'ÉTOILE MEUBLÉ DE TOURISME 3 ÉTOILES  POUR 7 PERS;Meublés;Maison;;;;;44780;MISSILLAC;;44098;47.481882;-2.159991;;06 82 38 65 01;;;;https://www.le-clos-de-l-etoile.fr/;;;;;oui;;;;;;"Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;3 étoiles;3;;;7;140;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;;;;;;;"Chèques Vacances;Virement";47.481882,-2.159991;Loire-Atlantique
APPARTEMENT 6 PERSONNES - M. LENEN;Meublés;Appartement;;;12 rue du Clos Pont Ville;Résidence du Vieux Moulin;44420;PIRIAC-SUR-MER;;44125;47.379696;-2.546722;;;02 99 98 23 87;;;;;;;;;;;;;;;;;;;3;;;6;;;;;;;;;;;;47.379696,-2.546722;Loire-Atlantique
APPARTEMENT  4 PERSONNES - MME HAMARD;Meublés;Appartement;;;5, place d'Armes;;44490;LE CROISIC;;44049;47.29288;-2.510964;;06 75 79 63 48;02 40 05 48 15;;;;;;;;;;;;;;Terrasse / Balcon;;;;Non classé;1;;;4;;;;;;;;;;;;47.29288,-2.510964;Loire-Atlantique
LE PETIT CHÂTEAU;Chambres d'hôtes;Maison;;;18, impasse de la Courte Baille;Saillé;44350;GUERANDE;;44069;47.29547;-2.43437;;;06 49 51 01 88;;;;;;;;oui;;;;;WiFi;"Sanitaires privés;Terrasse / Balcon";Equipement bébé;;;;4;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||75,00||110,00||;"Chèques bancaires et postaux;Espèces";47.29547,-2.43437;Loire-Atlantique
CRYSTAL LOVE APPART;Chambres d'hôtes;;;;2 avenue de la Mer;;44380;PORNICHET;;44132;47.26788;-2.3475;;;07 68 68 18 69;;;http://www.crystal-loveappart.fr;;;;;non;;;non;;Espace bien-être,WiFi;"Entrée indépendante;Plain Pied;Sanitaires privés;Terrasse / Balcon";;;;;1;;;;;;"Anglais;Espagnol";;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.26788,-2.3475;Loire-Atlantique
BRAD EN BRIÈRE, CHAMBRES D'HÔTES EN CHAUMIÈRE;Chambres d'hôtes;;;;204 Le Crugo;;44410;SAINT-LYPHARD;;44175;47.36678;-2.34184;;;06 95 92 13 23;;;;;;;;non;;;non;;WiFi;"Parking;Sanitaires privés";;;;;;;;2;;Tables d'hôtes;Anglais;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||70,00||85,00||,Table d'hôtes||20,00||30,00||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.36678,-2.34184;Loire-Atlantique
MAISON 7 PERSONNES - M. ET MME CLOTAUX;Meublés;Maison;;;22 rue du Four;;44740;BATZ-SUR-MER;;44010;47.27764;-2.47942;;;06 20 64 35 23;;;;;;;;oui;Avec accord préalable;;non;;;Plain Pied;Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;3 étoiles;3;;;7;120;Location de draps;;;01/02/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||580,00||880,00||,Week-end (meublé)||300,00||480,00||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.27764,-2.47942;Loire-Atlantique
MAISON- 6 PERSONNES LE PATIOS DE LA CHAPELLE MR BEZET;Meublés;Maison;;;23 avenue André Antoine;Le patios de la chapelle;44510;LE POULIGUEN;;44135;47.26791;-2.42579;;;06 37 19 88 58;;;;;;;;non;;;;;;"Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Lave linge,Lave vaisselle,Micro ondes;;;;3;;;6;85;Location de draps;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2022||31/12/2022||merci de me joindre par mail ou téléphone  pour voir les disponibilités||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||1050,00||1050,00||,Taxe de séjour / nuit / pers||2,00||2,00||;Virement;47.26791,-2.42579;Loire-Atlantique
LES CHAMBRES DE KER HOLEN;Chambres d'hôtes;Maison;;;23 rue du Gosquet;;44410;SAINT-LYPHARD;;44175;47.39994;-2.31794;;06 80 38 41 90;02 49 52 69 08;;;http://www.kerholen.jimdofree.com;;;;;non;;;;;WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon";Equipement bébé;;;;;;;5;;;;;01/03/2022||30/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||70,00||70,00||,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||60,00||60,00||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.39994,-2.31794;Loire-Atlantique
APPARTEMENT  2 PERSONNES - MME BURLOT;Meublés;Appartement;;;26 rue Pasteur;;44490;LE CROISIC;;44049;47.28437;-2.51245;;;02 40 23 22 51;;;;;;;;;;;;;;"Garage;Parking;Terrasse / Balcon";;;;Non classé;;;;2;;;Anglais;;;;;;;;;47.28437,-2.51245;Loire-Atlantique
APPARTEMENT  2 PERSONNES - MME LE COUVIOUR;Meublés;Appartement;;;27 rue Pasteur;;44490;LE CROISIC;;44049;47.2845;-2.5119;;06 32 81 78 71;02 47 24 42 60;;;;;;;;;;;;;;"Parking;Terrasse / Balcon";;;;Non classé;;;;2;;;;;;;;;;;;47.2845,-2.5119;Loire-Atlantique
CHAMBRE D'HÔTES LA PETITE MAISON;Chambres d'hôtes;Maison;;;29 route de la loeuf;;44119;GRANDCHAMPS-DES-FONTAINES;;44066;47.3616516;-1.6221973;;06 49 36 60 85;;;;https://lapetitemaison-nantes.fr/;;Facebook||https://www.facebook.com/lapetitemaison44/;;;non;;;non;;Espace bien-être,Parc/jardin;"Entrée indépendante;Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Micro ondes;;;2 étoiles;1;0;1;2;50;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);Français;oui;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||185,00||235,00||;"Cartes bancaires;Chèques Vacances";47.3616516,-1.6221973;Loire-Atlantique
MAISON 8 PERSONNES - M. MORIO;Meublés;Maison;;;295 rue de Tréyo;Quimiac;44420;MESQUER;;44097;47.40973;-2.48268;;06 31 55 53 82;02 40 53 91 80;;;;;;;;non;;;;;;"Local vélo;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;3 étoiles;4;;;8;130;;;;01/06/2021||31/08/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.40973,-2.48268;Loire-Atlantique
